ndata,model,mean_fn,error_J_50,error_J_100,error_J_500,error_J_1000,PY_THETA,PY_ALPHA,repnum
100000,DP,avg,1675.3956765948087,1620.9262000714293,1366.6256249090459,1300.710008623119,100.0,0.25,7
250000,NGG,geom,1567.0196299162203,1760.932651883425,1972.6506586795822,2585.0514206209964,100.0,0.25,7
250000,NGG,avg,1840.4105291650822,1918.5929991387702,2659.4975132084537,3369.4275390138573,100.0,0.25,7
250000,DP,geom,2190.631513538587,2136.27860599101,1737.6833046859635,1571.1237509864686,100.0,0.25,7
250000,DP,avg,2189.0046442925263,2136.0468511028757,1737.6647682981063,1571.123750986469,100.0,0.25,7
5000,NGG,geom,845.2597170264683,905.2790125741537,1117.380078668723,1191.1089767688732,10.0,0.75,10
5000,NGG,avg,856.5927381034555,902.9976102788892,1112.8525136095454,1179.868789987747,10.0,0.75,10
5000,DP,geom,1205.6632220696026,1157.6862649518382,1088.4426246056569,1100.676976680935,10.0,0.75,10
5000,DP,avg,1205.4160967956625,1157.3982653149653,1088.442549335308,1100.676976680935,10.0,0.75,10
10000,NGG,geom,1481.1969729065718,1540.0849492532998,1629.2942867038491,1745.1379482841871,10.0,0.75,10
10000,NGG,avg,1478.636870435405,1528.3087751863618,1652.62431773224,1738.323806873981,10.0,0.75,10
10000,DP,geom,2142.281661676096,2056.5570630589204,1716.5758828479557,1604.4253480075627,10.0,0.75,10
10000,DP,avg,2141.958287347591,2056.4987640079944,1716.5275905642773,1604.4253480075627,10.0,0.75,10
100000,NGG,geom,7695.51002268283,8116.667846477556,7844.619650260281,8176.2092342916085,10.0,0.75,10
100000,NGG,avg,7760.782943208194,8169.9560032803565,8446.729550416101,7631.348080394995,10.0,0.75,10
100000,DP,geom,13093.609952718984,12926.771396236183,11945.67093064962,11073.708254087178,10.0,0.75,10
100000,DP,avg,13093.142308397428,12926.546938718535,11945.667830382132,11073.70825408718,10.0,0.75,10
250000,NGG,geom,15044.746710824335,15272.51800268086,16803.067297372094,15906.494463355,10.0,0.75,10
